Age,Rate
0,9.85489E-07
1,3.92343E-07
2,3.05159E-07
3,2.31492E-07
4,1.71358E-07
5,1.24625E-07
6,9.08834E-08
7,6.94167E-08
8,5.90834E-08
9,5.78334E-08
10,6.375E-08
11,7.41667E-08
12,8.65E-08
13,9.86334E-08
14,1.09075E-07
15,1.16717E-07
16,1.21933E-07
17,1.26567E-07
18,1.30767E-07
19,1.3485E-07
20,1.395E-07
21,1.4525E-07
22,1.52492E-07
23,1.61383E-07
24,1.71842E-07
25,1.8345E-07
26,1.95684E-07
27,2.07909E-07
28,2.19934E-07
29,2.31717E-07
30,2.41967E-07
31,2.50542E-07
32,2.58484E-07
33,2.6705E-07
34,2.77992E-07
35,2.95167E-07
36,3.21051E-07
37,3.56734E-07
38,4.02409E-07
39,4.57026E-07
40,5.16701E-07
41,5.7786E-07
42,6.37261E-07
43,6.94186E-07
44,7.4937E-07
45,8.03879E-07
46,8.60596E-07
47,9.2428E-07
48,9.97689E-07
49,1.08319E-06
50,1.18462E-06
51,1.30312E-06
52,1.43719E-06
53,1.58621E-06
54,1.74848E-06
55,1.9163E-06
56,2.08506E-06
57,2.25317E-06
58,2.42237E-06
59,2.59718E-06
60,2.77623E-06
61,2.96496E-06
62,3.17562E-06
63,3.42029E-06
64,3.71199E-06
65,4.0575E-06
66,4.4641E-06
67,4.93968E-06
68,5.49776E-06
69,6.15118E-06
70,6.87358E-06
71,7.65916E-06
72,8.52272E-06
73,9.49971E-06
74,1.06374E-05
75,1.19907E-05
76,1.36089E-05
77,1.55317E-05
78,1.77944E-05
79,2.04176E-05
80,2.34119E-05
81,2.67809E-05
82,3.05222E-05
83,3.46308E-05
84,3.9101E-05
85,4.40753E-05
86,4.95988E-05
87,5.57187E-05
88,6.24843E-05
89,6.99462E-05
90,7.81563E-05
91,8.71672E-05
92,9.70316E-05
93,0.000107802
94,0.000119528
95,0.00013226
96,0.000146042
97,0.000160916
98,0.000176918
99,0.000194078
100,0.000837177
