Age,Rate
0,8.33337E-07
1,2.775E-07
2,7.75E-08
3,7.5E-08
4,7.33334E-08
5,7.16667E-08
6,7.08334E-08
7,7.16667E-08
8,7.33334E-08
9,7.66667E-08
10,8.25E-08
11,9E-08
12,1E-07
13,1.11667E-07
14,1.21667E-07
15,1.3E-07
16,1.36667E-07
17,1.43333E-07
18,1.49167E-07
19,1.54167E-07
20,1.59167E-07
21,1.64167E-07
22,1.69167E-07
23,1.75E-07
24,1.81667E-07
25,1.89167E-07
26,1.98334E-07
27,2.08334E-07
28,2.2E-07
29,2.33334E-07
30,2.49167E-07
31,2.675E-07
32,2.88334E-07
33,3.11667E-07
34,3.39167E-07
35,3.69167E-07
36,4.02501E-07
37,4.40001E-07
38,4.80835E-07
39,5.26668E-07
40,5.76668E-07
41,6.31669E-07
42,6.91669E-07
43,7.5667E-07
44,8.2667E-07
45,9.02504E-07
46,9.85005E-07
47,1.07251E-06
48,1.16751E-06
49,1.27001E-06
50,1.38084E-06
51,1.50085E-06
52,1.63001E-06
53,1.77002E-06
54,1.92169E-06
55,2.08502E-06
56,2.26169E-06
57,2.4517E-06
58,2.65587E-06
59,2.87755E-06
60,3.12839E-06
61,3.42423E-06
62,3.78175E-06
63,4.21676E-06
64,4.74512E-06
65,5.38183E-06
66,6.14437E-06
67,7.04777E-06
68,8.10869E-06
69,9.34215E-06
70,1.07648E-05
71,1.21616E-05
72,1.37394E-05
73,1.5523E-05
74,1.75367E-05
75,1.9813E-05
76,2.23836E-05
77,2.52885E-05
78,2.85703E-05
79,3.22782E-05
80,3.64673E-05
81,4.12002E-05
82,4.65477E-05
83,5.25894E-05
84,5.94152E-05
85,6.71273E-05
86,7.58408E-05
87,8.56862E-05
88,9.68099E-05
89,0.000109379
90,0.000123581
91,0.000139629
92,0.000157762
93,0.000178252
94,0.000201407
95,0.000227573
96,0.000257143
97,0.000290562
98,0.000328332
99,0.000371021
100,0.000837177
